Dim = 9
1 72.0 1
11 61.0 58.9342
12 55.029 68.3295
13 50.0853 78.2895
14 46.2149 88.801
15 43.2922 99.8516
16 41.1244 111.43
18 38.7637 136.133
19 37.8582 149.239
20 37.4706 162.836
21 36.2552 176.918
31 36.1261 343.016
35 36.1043 421.615
39 36.075 506.769
43 36.0721 598.269
46 36.0626 670.947
49 36.0612 747.022
50 36.0317 773.124
56 36.0265 937.389
58 36.0205 995.01
59 36.0197 1024.35
60 36.0119 1054.04
61 36.0084 1084.08
63 36.0022 1145.19
66 36.0019 1239.44
68 36.0015 1303.96
76 36.0008 1575.37
77 36.0007 1610.77
79 36.0005 1682.54
86 36.0003 1943.78
87 36.0002 1982.36
